Код;Имеет ПВЗ;Максимальный вес;Страна;Регион;Город;Улица;Дом;Офис;Эл. почта;Телефоны;График работы;Наименование;Описание;Комментарий к адресу;Ближайшая остановка;Ближайшая остановка метро;
MGD1;Да;;Россия;Магаданская обл.;Магадан;ул. Кольцевая;3;;;+74132602244;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Кольцевой;;;;;||
STR1;Да;;Россия;Башкортостан респ.;Стерлитамак;ул. Коммунистическая;46;;str@cdek.ru;+73473235533;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Коммунистическая;;Здание «Мир мебели».;Остановка Блюхера со стороны пр. Октября.;;||
USS1;Да;;Россия;Приморский край;Уссурийск;ул. Краснознаменная;178б;8;ussuriysk@edostavka.ru;+74234335082, +74232025102;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Краснознамен;;;;;||
VRN1;Да;;Россия;Воронежская обл.;Воронеж;Пр-т Труда;46А;;vrn@edostavka.ru;+74732334510;Пн-Пт 08:00-20:00, Сб 10:00-18:00, Вс 10:00-14:00;На Труда;;Здание Випласта, вход с проспекта  Труда;;;||
NSK1;Да;;Россия;Новосибирская обл.;Новосибирск;ул. Кривощековская;15, корп.5;;nsk@cdek.ru;+73832022250;Пн-Пт 08:00-22:00, Сб-Вс 10:00-18:00;На Кривощековская;;;;;||
KSK1;Да;;Россия;Красноярский край;Красноярск;ул.  Шахтеров;49 ж ст. 5 помещение 3/2;;ksk@cdek.ru;+73912745092;Пн-Пт 08:00-20:00, Сб-Вс 10:00-16:00;На Шахтеров;;Енисейский рынок. Промзона. 1 этаж;Ост.Южный рынок;;||
CHBK1;Да;;Россия;Чувашия респ.;Чебоксары;ул. Ильбекова;4;;cheboksary@cdek.ru;+78352655212, +78352700730, +79379581616;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-16:00;На Ильбекова;;ЦЕНТРАЛЬНЫЙ ВХОД;;;||
SPB1;Да;30.0;Россия;Санкт-Петербург;Санкт-Петербург;пр-т Лиговский;50, корп.13;101а;spb@edostavka.ru;+78123209500;Пн-Вс 08:00-21:00;На Лиговском 1;;;;Ст.м . Лиговский проспект\ ст.м. Площадь Восстания;||
XAB1;Да;;Россия;Хабаровский край;Хабаровск;ул. Окружная;8а;;khb@edostavka.ru;+79625023312, +74212465016, +74212465015;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Окружной;;;;;||
VLK2;Да;;Россия;Приморский край;Владивосток;ул. Давыдова;22а;;vlk2@cdek.ru;+74232243854;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Давыдова;;Вверх от остановки, вдоль травмпункта по направлению к воинской части, выше магазина Фреш 24 переходим дорогу к красной высотке. Со стороны дороги третье отдельновыделенное крыльцо.;Остановки Русская;;||
NSK2;Да;30.0;Россия;Новосибирская обл.;Новосибирск;пр-т Красный;25;205;;+79538663077;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Ленина;"ст. метро ""Площадь Ленина""";;;Ст. м. Площадь Ленина;||
MSK3;Да;30.0;Россия;Москва;Москва;пр-т Ленинградский;2;;o.shershneva@cdek.ru;+79269464613;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Белорусская;;Замоскворецкая ветка метро. Первый вагон из центра, выход в город к Белорусскому вокзалу. Пройдите 20 метров в сторону перехода под мостом. Пройдите по переходу под Ленинградским и поднимитесь по лестнице, расположенной слева от вас. Поднявшись, повернит;;Белорусская;||
VLK3;Да;;Россия;Приморский край;Владивосток;ул. Пушкинская;52;;vlk@edostavka.ru;+74232561864, +74232590900;Пн-Пт 09:00-20:00, Сб-Вс 09:00-18:00;На Пушкинской;;;;;||
YARS2;Да;;Россия;Ярославская обл.;Ярославль;ул. Большая Октябрьская;39;;yaroslavl@cdek.ru;+74852230460, +74852230461;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Большой Октябрьской;;;;;||
KRN1;Да;50.0;Россия;Московская обл.;Красногорск;пер. Оптический;1а;;t.veremeenko@cdek.ru;+74985056546, +79629491927;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Оптической;Теплый бетон;Вверх по ул. Речной мимо гос архива, первый поворот направо до 3-х этажного БЦ оранжевого цвета.;;;||
VNG1;Да;;Россия;Новгородская обл.;Великий Новгород;ул. Большая Санкт-Петербургская;39, стр.11;;;+79517287002;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Б.Санкт-Петербургской;;"ТЦ""Волна"" . Необходимо пройти под аркой (под магазином ""КЕЙ""), расположенной ближе к остановке. Далее 50м вдоль всего здания и направо, проходим 10 метров, снова направо и до конца. Слева будет видна большая зеленая вывеска CDEK, вход с торца здания по направлению движения.";Чудовская;;||
MIA1;Да;;Россия;Челябинская обл.;Миасс;ул. Лихачева;31;11 ;;+73513284466, +79511247307;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Лихачева;(этаж 1);Спуститься в р-н Комарово, ниже ж/д переезда. ТК «Комарово», отдельный вход с правого торца здания с вывеской, 1 этаж.;Лихачева;;||
KSK2;Да;;Россия;Красноярский край;Красноярск;ул. Сурикова;12/6;;;+73912153372, +73912053372;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Карла Маркса;;Вход с ул. К.Маркса;;;||
NKZ2;Да;;Россия;Кемеровская обл.;Новокузнецк;пр-т Металлургов;38;;;+79039083311, +73843920224;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Металлургов;;;;;||
GTN1;Да;;Россия;Ленинградская обл.;Гатчина;пр-т 25 Октября;10;;;+78137199527;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На 25-го Октября;;;;;||
RBN1;Да;;Россия;Ярославская обл.;Рыбинск;пр-т Серова;1;;o.belyakova@cdek.ru;+79201150305, +79301323810;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Серова;;Рядом с площадью длинный пятиэтажный дом пр.Серова,1. Вход со стороны подъездов.;Площадь Жукова;;||
SVK1;Да;;Россия;Томская обл.;Северск;ул. Транспортная;30;104;;+73823907012, +73823907014;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Транспортной;;"Бизнес-центр ""Тайм"" (бывший ДК ""Строитель"").";Прокуратура;;||
KEM2;Да;;Россия;Кемеровская обл.;Кемерово;ул. Тухачевского;47в;;kem@edostavka.ru;+73842452565;Пн-Пт 09:00-20:00, Сб 10:00-18:00, Вс 10:00-16:00;На Тухачевского;;;;;||
VLD2;Да;;Россия;Владимирская обл.;Владимир;пр-т Октябрьский;7;122;;+74922377003;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Октябрьском;;;;;||
BLK2;Да;;Россия;Саратовская обл.;Балаково;пр-т Героев;41;201;;+78453391077;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Проспекте Героев;;;;;||
MSK5;Да;;Россия;Москва;Москва;ул. Авиамоторная;67/8, стр.3;;msk@edostavka.ru;+74957978108 7716;Пн-Пт 09:00-21:00, Сб-Вс 10:00-18:00;На Авиамоторной;;"Ближайшие остановки  5-ая Кабельная (59, 759, 859 автобус), Ст. м. Авиамоторная.Метро Авиамоторная. Выход в переходе на ул. Авиамоторная 18, Из метро прямо на остановку общественного транспорта. Автобусы :59, 759, 859 . Ехать до остановки ""5-ая Кабельная";5-ая Кабельная  (59, 759, 859 автобус);Ст. м. Авиамоторная;||
DZZH1;Да;;Россия;Нижегородская обл.;Дзержинск, Нижегородская обл.;ул. Терешковой;8;;;+78312835423, +79302835423;Пн-Пт 08:00-20:00, Сб 10:00-16:00;На Терешковой;;;;;||
VDN1;Да;;Россия;Московская обл.;Видное;ул. Донбасская;2;3;;+79160705658;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Донбасской;"БЦ""ЮГ";;;;||
PPK2;Да;;Россия;Камчатский край;Петропавловск-Камчатский;ул. Бохняка;18;;;+74152307878;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Бохняка;;;;;||
TMB2;Да;;Россия;Тамбовская обл.;Тамбов;ш. Моршанское;17г;;;+74752435354, +74752494494;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Моршанском;;;;;||
MTW2;Да;;Россия;Московская обл.;Мытищи;ул. Колпакова;9/2;;r.trufanov@cdek.ru;+74993474876;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Колпакова;;;;;||
ARM1;Да;;Россия;Краснодарский край;Армавир;ул. Советской Армии;97;27;O.Sechkina@cdek.ru;+79282407398, +78613750135;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Советской Армии;( БЦ Капитал), 1этаж;;;;||
UFA2;Да;;Россия;Башкортостан респ.;Уфа;ул. Революционная;98/1, блок а;;ufa@edostavka.ru;+73472242091;Пн-Пт 08:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Революционной;;мкр Зеленая Роща. ПВЗ находится за Призывным пунктом. Серый БЦ, 1 дверь с главного входа.;;;||
KOM2;Да;;Россия;Хабаровский край;Комсомольск-на-Амуре;пр-т Октябрьский;28;;;+79638233383;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Октябрьском;;;;;||
KZN2;Да;;Россия;Татарстан респ.;Казань;ул. Энгельса;19;;kazan@edostavka.ru;+78435671234 16010;Пн-Пт 08:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Энгельса;ориентир Энгельса д. 17;;;;||
TLT2;Да;30.0;Россия;Самарская обл.;Тольятти;ул. Ленина;44, корп.3;5;toljatti@cdek.ru;+78482633263, +78482650375;Пн-Пт 08:00-20:00, Сб-Вс 10:00-16:00;На Ленина;;Слева видим ТЦ «Трасса 66», здание с большим рекламным баннером на торце здания. Слева от входа большой банер «СДЭК Логистические решения»;;;||
RND2;Да;;Россия;Ростовская обл.;Ростов-на-Дону;ул. Менжинского;4г;;rostov@edostavka.ru;+78632098085;Пн-Пт 08:00-20:00, Сб 10:00-18:00, Вс 10:00-16:00;На Менжинского;;;;;||
KRV2;Да;30.0;Россия;Кировская обл.;Киров;ул. Московская (вход с ул. Свободы);15;;kirov@edostavka.ru;+78332211998;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Московской;;вход с ул. Свободы;;;||
OMS2;Да;;Россия;Омская обл.;Омск;ул. Пушкина;137;;V.Lisizyn@cdek.ru;+73812633199;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Пушкина;;200м от остановки в сторону ул. Пушкина, здание похоже на пирамиду, вывеска «Сибирская Пирамида». Центральный вход.;Дом Печати, она же ТК Каскад;;||
NN2;Да;;Россия;Нижегородская обл.;Нижний Новгород;ул. Передовая/ ш. Московское;146Б;;smirnova.e@cdek.ru;+79101388165;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;Передовая/Московское;;Ориентир — городская больница №39;Улица Красных Зорь;Ст. м. Буревестник;||
ALT1;Да;;Россия;Татарстан респ.;Альметьевск;ул. Чехова;19;;alt@cdek.ru;+78553324220;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Чехова;;;;;||
MSK7;Да;30.0;Россия;Москва;Москва;б-р Мячковский;11;;o.mishulina@cdek.ru;+74951628922;Пн-Пт 10:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Братиславской;;От метро 9 мин. (700 м) Метро Братиславская. Выйдя из метро,следуйте на северо-восток по ул. Перерва в сторону бул. Мячковский . Двигайтесь прямо. Ближайшая автобусная остановка  Новомарьинская (автобусы 326,336,522,713,981)   Вход в офис со стороны бульв;;Братиславская;||
VLZH1;Да;;Россия;Волгоградская обл.;Волжский;пр-т Ленина;92б;;D.Leonov@cdek.ru;+79053361122, +78443391122;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Ленина;;;;;||
NFK2;Да;;Россия;Башкортостан респ.;Нефтекамск;ул. Социалистическая;37;2;;+79273001939, +73478344004;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Социалистической;;Вход со стороны магазина Европа.;;;||
NN3;Да;30.0;Россия;Нижегородская обл.;Нижний Новгород;ул. Красных зорь;27;;nn@cdek.ru;+78312680539;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Красных Зорь;;;;;||
PLK2;Да;50.0;Россия;Московская обл.;Подольск;пр-т Ленина;146/66;101;o.kontorina@cdek.ru;+79035975997, +79771998318;Пн-Пт 10:00-19:00, Сб 10:00-16:00;На Ленина;доб 157;;;;||
SHXT1;Да;;Россия;Ростовская обл.;Шахты;ул. Советская;200;;rnd@cdek.ru;+78632098745;Пн-Пт 09:00-19:00, Сб 10:00-16:00;На Советской;;;;;||
KLM2;Да;;Россия;Московская обл.;Коломна;ул. Зайцева;38;19;a.semikov@cdek.ru;+74996415001;Пн-Вс 09:00-20:00;На Зайцева;;;;;||
BRN2;Да;;Россия;Алтайский край;Барнаул;ул. Малахова;83;;s.karpova@cdek.ru;+79236540023, +73852724094, +73852722094;Пн-Пт 09:00-20:00, Сб 10:00-16:00, Вс 10:00-14:00;На Малахова д.83;;;;;||
OBN2;Да;;Россия;Калужская обл.;Обнинск;ул. Гурьянова;21;105;obninsk@cdek.ru;+74843958007, +79105222455, +79534630981, +74843957282;Пн-Пт 09:00-19:00, Сб 10:00-18:00, Вс 10:00-16:00;На Гурьянова;;;;;||
